"Prov","Comu","Dist","CodScuola","ScAssiciataA","Indirizzo","ScPrincipaleCon"
"FROSINONE","TREVI NEL LAZIO","035","FRAA80703V","FRIC80700X","CAPOLUOGO",""
"FROSINONE","ACUTO","050","FRAA83602T","FRIC83600X","VIA G. GERMINI LOC. CAPOLUOGO",""
"FROSINONE","ANAGNI","050","FRAA84401Q","FRIC84400V","VIA REGINA MARGHERITA LOC. CAPOLUOGO VIA R. MARG",""
"FROSINONE","ANAGNI","050","FRAA84502L","FRIC84500P","VIA MADONNA DI TUFANO",""
"FROSINONE","ANAGNI","050","FRAA84501G","FRIC84500P","VIA FOSSO DEL LUPO",""
"FROSINONE","ANAGNI","050","FRAA84402R","FRIC84400V","CONTRADA S. FILIPPO",""
"FROSINONE","ANAGNI","050","FRAA84404V","FRIC84400V","CONTRADA COLLE S. BARTOLOMEO",""
"FROSINONE","ANAGNI","050","FRAA84403T","FRIC84400V","CONTRADA S. CESAREO",""
"FROSINONE","ANAGNI","050","FRAA84503N","FRIC84500P","VIA S. GIORGETTO",""
"FROSINONE","ANAGNI","050","FRAA84400P","FRIC84400V","VIALE REGINA MARGHERITA 17 ANAGNI",""
"FROSINONE","ANAGNI","050","FRAA84500E","FRIC84500P","VIA SAN GIORGETTO ANAGNI",""
"FROSINONE","FIUGGI","050","FRAA83601R","FRIC83600X","VIA VAL MADONNA",""
"FROSINONE","FIUGGI","050","FRAA83600Q","FRIC83600X","VIA VAL MADONNA 14 FIUGGI",""
"FROSINONE","PALIANO","050","FRAA827001","FRIC827005","VIA FRATELLI BEGUINOT 30/A PALIANO",""
"FROSINONE","PALIANO","050","FRAA827034","FRIC827005","VIA PIANO DEI COLLI PALIANO",""
"FROSINONE","PIGLIO","050","FRAA80700Q","FRIC80700X","VIA PIAGGE PIGLIO",""
"FROSINONE","PIGLIO","050","FRAA80701R","FRIC80700X","LOC CAPOLUOGO",""
"FROSINONE","PIGLIO","050","FRAA80702T","FRIC80700X","",""
"FROSINONE","SERRONE","050","FRAA80600X","FRIC806004","VIA MONTE SCALAMBRA SNC SERRONE",""
"FROSINONE","SERRONE","050","FRAA806011","FRIC806004","VIA MONTE SCALAMBRA SERRONE",""
"FROSINONE","SGURGOLA","050","FRAA841007","FRIC84100B","VIA DUE GIUGNO N. 22",""
"FROSINONE","SGURGOLA","050","FRAA841018","FRIC84100B","VIA VALLE DELLA SCUOLA LOC. SCALO",""
"FROSINONE","ALATRI","051","FRAA83701L","FRIC83700Q","VIA DEL CALASANZIO 5 LOC. CAPOLUOGO",""
"FROSINONE","ALATRI","051","FRAA83801C","FRIC83800G","VIA DELLE CINQUE STRADE COLLELAVENA",""
"FROSINONE","ALATRI","051","FRAA83804G","FRIC83800G","VIA VALLE FIURA",""
"FROSINONE","ALATRI","051","FRAA83802D","FRIC83800G","VIA MONTE S. GREGORIO FONTANASCURANO",""
"FROSINONE","ALATRI","051","FRAA80803P","FRIC80800Q","VIA MOLE BISLETI SNC ALATRI",""
"FROSINONE","ALATRI","051","FRAA83702N","FRIC83700Q","VIA VALLE SAN MATTEO LOC. MONTE S. MARINO",""
"FROSINONE","ALATRI","051","FRAA83803E","FRIC83800G","LOC. S. EMIDIO S. EMIDIO",""
"FROSINONE","ALATRI","051","FRAA80800G","FRIC80800Q","VIA DANIMARCA1 ALATRI - TECCHIENA",""
"FROSINONE","ALATRI","051","FRAA83700G","FRIC83700Q","VIA DEL CALASANZIO 7 ALATRI",""
"FROSINONE","ALATRI","051","FRAA83800B","FRIC83800G","VIA MADONNA DELLA SANITA' 5/A ALATRI",""
"FROSINONE","ALATRI","051","FRAA83703P","FRIC83700Q","VIA MADONNA DELLA SANITA' 5/A ALATRI",""
"FROSINONE","ALATRI","051","FRAA80805R","FRIC80800Q","VIA ITALIA S. N. C ALATRI",""
"FROSINONE","COLLEPARDO","051","FRAA80407G","FRIC80400C","VIA D'ALATRI COLLEPARDO",""
"FROSINONE","GUARCINO","051","FRAA804019","FRIC80400C","VIA SS. ANNUNZIATA GUARCINO",""
"FROSINONE","GUARCINO","051","FRAA804008","FRIC80400C","VIA S. FRANCESCO N. 9 GUARCINO",""
"FROSINONE","TORRE CAJETANI","051","FRAA80404C","FRIC80400C","VIA CIRCONVALLAZIONE CERANO TORRE CAJETANI",""
"FROSINONE","TRIVIGLIANO","051","FRAA80402A","FRIC80400C","VIA DELLO SPRECO TRIVIGLIANO",""
"FROSINONE","VICO NEL LAZIO","051","FRAA80406E","FRIC80400C","VIA DEL PLEBISCITO VICO NEL LAZIO",""
"FROSINONE","VICO NEL LAZIO","051","FRAA80403B","FRIC80400C","CONTRADA VICO PITOCCO VICO NEL LAZIO",""
"FROSINONE","FERENTINO","052","FRAA83903A","FRIC83900B","VIA CARTIERA QUARTO FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA839018","FRIC83900B","VIA CIRCONVALLAZIONE FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA83904B","FRIC83900B","VIA CASILINA SUD FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA84002D","FRIC84000G","VIA TORRENOVERANA FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA84001C","FRIC84000G","VIA BELVEDERE- S. AGATA SNC FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA84003E","FRIC84000G","VIA STAZIONE FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA83906D","FRIC83900B","VIA SAN ROCCO TERRAVALLE FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA839007","FRIC83900B","VIA CIRCONVALLAZIONE LOLLI GHETTI FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA84000B","FRIC84000G","VIA ALFONSO BARTOLI FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA83905C","FRIC83900B","VIA POZZILLO SNC FERENTINO",""
"FROSINONE","FUMONE","052","FRAA83907E","FRIC83900B","VIA VICINALE POZZI FUMONE",""
"FROSINONE","MOROLO","052","FRAA841029","FRIC84100B","VIA CERQUOTTI MOROLO",""
"FROSINONE","SUPINO","052","FRAA83000R","FRIC830001","VIA DE' NOTARI SNC SUPINO",""
"FROSINONE","SUPINO","052","FRAA83001T","FRIC830001","VIA DEI NOTARI SUPINO",""
"FROSINONE","ARNARA","053","FRAA842069","FRIC842007","VIA GORNJA BISTRA ARNARA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA828041","FRIC828001","VIA TORRIONE DEI NOBILI BOVILLE ERNICA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA82801T","FRIC828001","VIA SANTA LIBERATA BOVILLE ERNICA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA82802V","FRIC828001","VIA SAN LUCIO BOVILLE ERNICA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA82803X","FRIC828001","VIA VALLE ARIANA BOVILLE ERNICA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA82800R","FRIC828001","VIA TORRIONE DEI NOBILI 2 BOVILLE ERNICA",""
"FROSINONE","FROSINONE","053","FRAA85900C","FRIC85900L","VIA MASTRUCCIA 35 FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA847039","FRIC84700A","VIA ROSSINI FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86004R","FRIC86000R","VIA FOSSE ARDEATINE26",""
"FROSINONE","FROSINONE","053","FRAA847028","FRIC84700A","VIA LICINIO REFICE FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86006V","FRIC86000R","VIA MADONNA DELLANEVE",""
"FROSINONE","FROSINONE","053","FRAA84604E","FRIC84600E","VIA TOMMASO LANDOLFI",""
"FROSINONE","FROSINONE","053","FRAA86005T","FRIC86000R","VIA FONTE CORINA20",""
"FROSINONE","FROSINONE","053","FRAA84704A","FRIC84700A","VIA GAETA FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86003Q","FRIC86000R","VIA AMERICA LATINA105",""
"FROSINONE","FROSINONE","053","FRAA84605G","FRIC84600E","VIA MARITTIMA FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA84602C","FRIC84600E","VIA ARNO FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA847017","FRIC84700A","VIA VERDI FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86002P","FRIC86000R","VIALE MATTEOTTI FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA847006","FRIC84700A","VIA GIACOMO PUCCINI SNC FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA84600A","FRIC84600E","VIA TEVERE 72 FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86000L","FRIC86000R","VIA FOSSE ARDEATINE 14 FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA85901D","FRIC85900L","VIA MASTRUCCIA FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA85902E","FRIC85900L","VIA FERRARELLI FROSINONE",""
"FROSINONE","RIPI","053","FRAA81100B","FRIC81100G","PIAZZA G. BACCELLI 1 RIPI",""
"FROSINONE","RIPI","053","FRAA81101C","FRIC81100G","CESARANO CASA DEL MEDICO",""
"FROSINONE","RIPI","053","FRAA81102D","FRIC81100G","VIA VARROCCIA S. GIOVANNI",""
"FROSINONE","TORRICE","053","FRAA81103E","FRIC81100G","VIA S. MOSE' TORRICE",""
"FROSINONE","VEROLI","053","FRAA848002","FRIC848006","VIA I LUCI VEROLI",""
"FROSINONE","VEROLI","053","FRAA86100C","FRIC86100L","PIAZZA GIUSEPPE TRULLI 8 VEROLI",""
"FROSINONE","VEROLI","053","FRAA86102E","FRIC86100L","VIA MADONNA DEGLI ANGELI",""
"FROSINONE","VEROLI","053","FRAA86101D","FRIC86100L","PASS. TA SAN GIUSEPPE VEROLI",""
"FROSINONE","VEROLI","053","FRAA848046","FRIC848006","VIA CASINO SPANI VEROLI",""
"FROSINONE","VEROLI","053","FRAA86104L","FRIC86100L","VIA COLLE BERARDI VEROLI",""
"FROSINONE","VEROLI","053","FRAA848035","FRIC848006","VIA COLLECIAFFONE VEROLI",""
"FROSINONE","VEROLI","053","FRAA848013","FRIC848006","VIA COTROPAGNO VEROLI",""
"FROSINONE","VEROLI","053","FRAA86103G","FRIC86100L","VIA CROCIFISSO",""
"FROSINONE","VEROLI","053","FRAA848024","FRIC848006","VIA I LUCI VEROLI",""
"FROSINONE","VEROLI","053","FRAA86105N","FRIC86100L","VIA SCIFELLI",""
"FROSINONE","AMASENO","054","FRAA812018","FRIC81200B","VIALE UMBERTO I LOC CAPOLUOGO",""
"FROSINONE","AMASENO","054","FRAA812007","FRIC81200B","VIA PRATI SNC AMASENO",""
