"Prov","Comu","Dist","CodScuola","Descrizione","ScAssiciataA","Indirizzo","ScPrincipaleCon"
"FROSINONE","TREVI NEL LAZIO","035","FRAA80703V","FRAA80703V  TREVI NEL LAZIO CAPOLUOGO (ASSOC. I. C. FRIC80700X)","FRIC80700X","CAPOLUOGO",""
"FROSINONE","ACUTO","050","FRAA83602T","FRAA83602T  ACUTO CAPOLUOGO (ASSOC. I. C. FRIC83600X)","FRIC83600X","VIA G. GERMINI LOC. CAPOLUOGO",""
"FROSINONE","ANAGNI","050","FRAA84401Q","FRAA84401Q  ANAGNI CAPOLUOGO (ASSOC. I. C. FRIC84400V)","FRIC84400V","VIA REGINA MARGHERITA LOC. CAPOLUOGO VIA R. MARG",""
"FROSINONE","ANAGNI","050","FRAA84502L","FRAA84502L  ANAGNI MAD. DI TUFANO (ASSOC. I. C. FRIC84500P)","FRIC84500P","VIA MADONNA DI TUFANO",""
"FROSINONE","ANAGNI","050","FRAA84501G","FRAA84501G  ANAGNI PANTANELLO (ASSOC. I. C. FRIC84500P)","FRIC84500P","VIA FOSSO DEL LUPO",""
"FROSINONE","ANAGNI","050","FRAA84402R","FRAA84402R  ANAGNI PRATO (ASSOC. I. C. FRIC84400V)","FRIC84400V","CONTRADA S. FILIPPO",""
"FROSINONE","ANAGNI","050","FRAA84404V","FRAA84404V  ANAGNI S. BARTOLOMEO (ASSOC. I. C. FRIC84400V)","FRIC84400V","CONTRADA COLLE S. BARTOLOMEO",""
"FROSINONE","ANAGNI","050","FRAA84403T","FRAA84403T  ANAGNI S. CESAREO (ASSOC. I. C. FRIC84400V)","FRIC84400V","CONTRADA S. CESAREO",""
"FROSINONE","ANAGNI","050","FRAA84503N","FRAA84503N  ANAGNI S. GIORGETTO (ASSOC. I. C. FRIC84500P)","FRIC84500P","VIA S. GIORGETTO",""
"FROSINONE","ANAGNI","050","FRAA84400P","FRAA84400P  I. C. 1^ ANAGNI (ASSOC. I. C. FRIC84400V)","FRIC84400V","VIALE REGINA MARGHERITA 17 ANAGNI",""
"FROSINONE","ANAGNI","050","FRAA84500E","FRAA84500E  I. C. 2^ ANAGNI (ASSOC. I. C. FRIC84500P)","FRIC84500P","VIA SAN GIORGETTO ANAGNI",""
"FROSINONE","FIUGGI","050","FRAA83601R","FRAA83601R  FIUGGI VALLE MADONNA (ASSOC. I. C. FRIC83600X)","FRIC83600X","VIA VAL MADONNA",""
